President,Date,Format,Words,
George Washington,1/8/1790,spoken,1089,
George Washington,12/8/1790,spoken,1401,
George Washington,10/25/1791,spoken,2302,
George Washington,11/6/1792,spoken,2101,
George Washington,12/3/1793,spoken,1968,
George Washington,11/19/1794,spoken,2918,
George Washington,12/8/1795,spoken,1989,
George Washington,12/7/1796,spoken,2871,
John Adams,11/22/1797,spoken,2063,
John Adams,12/8/1798,spoken,2218,
John Adams,12/3/1799,spoken,1505,
John Adams,11/22/1800,spoken,1372,
Thomas Jefferson,12/8/1801,written,3224,
Thomas Jefferson,12/15/1802,written,2197,
Thomas Jefferson,10/17/1803,written,2263,
Thomas Jefferson,11/8/1804,written,2096,
Thomas Jefferson,12/3/1805,written,2927,
Thomas Jefferson,12/2/1806,written,2860,
Thomas Jefferson,10/27/1807,written,2384,
Thomas Jefferson,11/8/1808,written,2675,
James Madison,11/29/1809,written,1831,
James Madison,12/5/1810,written,2446,
James Madison,11/5/1811,written,2273,
James Madison,11/4/1812,written,3242,
James Madison,12/7/1813,written,3257,
James Madison,9/20/1814,written,2111,
James Madison,12/5/1815,written,3146,
James Madison,12/3/1816,written,3364,
James Monroe,12/12/1817,written,4418,
James Monroe,11/16/1818,written,4376,
James Monroe,12/7/1819,written,4702,
James Monroe,11/14/1820,written,3446,
James Monroe,12/3/1821,written,5814,
James Monroe,12/3/1822,written,4723,
James Monroe,12/2/1823,written,6358,
James Monroe,12/7/1824,written,8400,
John Quincy Adams,12/6/1825,written,8985,
John Quincy Adams,12/5/1826,written,7705,
John Quincy Adams,12/4/1827,written,6917,
John Quincy Adams,12/2/1828,written,7282,
Andrew Jackson,12/8/1829,written,10525,
Andrew Jackson,12/6/1830,written,15114,
Andrew Jackson,12/6/1831,written,7178,
William Henry Harrison,12/4/1832,written,7863,
William Henry Harrison,12/3/1833,written,7877,
William Henry Harrison,12/1/1834,written,13411,
William Henry Harrison,12/7/1835,written,10825,
William Henry Harrison,12/5/1836,written,12367,
Martin van Buren,12/5/1837,written,11449,
Martin van Buren,12/3/1838,written,11488,
Martin van Buren,12/2/1839,written,13431,
Martin van Buren,12/5/1840,written,8991,
William Henry Harrison,NA,NA,NA,
John Tyler,12/7/1841,written,8241,
John Tyler,12/6/1842,written,8417,
John Tyler,12/7/1843,written,8036,
John Tyler,12/3/1844,written,9318,
James K. Polk,12/2/1845,written,16111,
James K. Polk,12/8/1846,written,18222,
James K. Polk,12/7/1847,written,16414,
James K. Polk,12/5/1848,written,21309,
Zachary Taylor,12/4/1849,written,7617,
Millard Fillmore,12/2/1850,written,8322,
Millard Fillmore,12/2/1851,written,13244,
Millard Fillmore,12/6/1852,written,9929,
Franklin Pierce,12/5/1853,written,9590,
Franklin Pierce,12/4/1854,written,10139,
Franklin Pierce,12/31/1855,written,11612,
Franklin Pierce,12/2/1856,written,10486,
James Buchanan,12/8/1857,written,13655,
James Buchanan,12/6/1858,written,16349,
James Buchanan,12/19/1859,written,12336,
James Buchanan,12/3/1860,written,14049,
Abraham Lincoln,12/3/1861,written,6987,
Abraham Lincoln,12/1/1862,written,8385,
Abraham Lincoln,12/8/1863,written,6114,
Abraham Lincoln,12/6/1864,written,5865,
Andrew Johnson,12/4/1865,written,9232,
Andrew Johnson,12/3/1866,written,7134,
Andrew Johnson,12/3/1867,written,12002,
Andrew Johnson,12/9/1868,written,9834,
Ulysses S. Grant,12/6/1869,written,7706,
Ulysses S. Grant,12/5/1870,written,8743,
Ulysses S. Grant,12/4/1871,written,6459,
Ulysses S. Grant,12/2/1872,written,10102,
Ulysses S. Grant,12/1/1873,written,10026,
Ulysses S. Grant,12/7/1874,written,9819,
Ulysses S. Grant,12/7/1875,written,12211,
Ulysses S. Grant,12/5/1876,written,6799,
Rutherford B. Hayes,12/3/1877,written,10724,
Rutherford B. Hayes,12/2/1878,written,7879,
Rutherford B. Hayes,12/1/1879,written,11635,
Rutherford B. Hayes,12/6/1880,written,13347,
James Gafield,NA,NA,NA,
Chester Arthur,12/6/1881,written,13321,
Chester Arthur,12/4/1882,written,10274,
Chester Arthur,12/4/1883,written,8363,
Chester Arthur,12/1/1884,written,8917,
Grover Cleveland,12/8/1885,written,19960,
Grover Cleveland,12/6/1886,written,15285,
Grover Cleveland,12/6/1887,written,5290,
Grover Cleveland,12/3/1888,written,13226,
Benjamin Harrison,12/1/1889,written,13004,
Benjamin Harrison,12/1/1890,written,11522,
Benjamin Harrison,12/9/1891,written,16306,
Benjamin Harrison,12/6/1892,written,13680,
Grover Cleveland,12/4/1893,written,12282,
Grover Cleveland,12/3/1894,written,15892,
Grover Cleveland,12/2/1895,written,14670,
Grover Cleveland,12/7/1896,written,15453,
William McKinley,12/6/1897,written,12113,
William McKinley,12/5/1898,written,20224,
William McKinley,12/5/1899,written,22831,
Theodore Roosevelt,"	12/3/1901",written,19616,
Theodore Roosevelt,12/5/1902,written,9782,
Theodore Roosevelt,12/7/1903,written,14943,
Theodore Roosevelt,12/6/1904,written,17415,
Theodore Roosevelt,12/5/1905,written,25071,
Theodore Roosevelt,12/3/1906,written,23609,
Theodore Roosevelt,12/3/1907,written,27397,
Theodore Roosevelt,12/8/1908,written,19411,
William Howard Taft,12/7/1909,written,13901,
William Howard Taft,12/6/1910,written,27651,
William Howard Taft,12/5/1911,written,23744,
William Howard Taft,12/3/1912,written,25161,
Woodrow Wilson,12/2/1913,spoken,3553,
Woodrow Wilson,12/8/1914,spoken,4537,
Woodrow Wilson,12/7/1915,spoken,7687,
Woodrow Wilson,12/5/1916,spoken,2118,
Woodrow Wilson,12/4/1917,spoken,3913,
Woodrow Wilson,12/2/1918,spoken,5463,
Woodrow Wilson,12/2/1919,written,4756,
Woodrow Wilson,12/7/1920,written,2706,
Warren G. Harding,12/6/1921,spoken,5606,
Warren G. Harding,12/8/1922,spoken,5748,
Calvin Coolidge,12/6/1923,spoken,6706,
Calvin Coolidge,12/3/1924,written,6968,
Calvin Coolidge,12/8/1925,written,10848,
Calvin Coolidge,12/7/1926,written,10305,
Calvin Coolidge,12/6/1927,written,8777,
Calvin Coolidge,12/4/1928,written,8061,
Herbert Hoover,12/3/1929,written,10994,
Herbert Hoover,12/5/1930,written,4536,
Herbert Hoover,12/8/1931,written,5682,
Herbert Hoover,12/6/1932,written,4201,
Franklin D. Roosevelt,1/3/1934,spoken,2230,
Franklin D. Roosevelt,1/4/1935,spoken,3525,
Franklin D. Roosevelt,1/3/1936,spoken,3826,
Franklin D. Roosevelt,1/6/1937,spoken,2732,
Franklin D. Roosevelt,1/3/1938,spoken,4697,
Franklin D. Roosevelt,1/4/1939,spoken,3768,
Franklin D. Roosevelt,1/3/1940,spoken,3196,
Franklin D. Roosevelt,1/6/1941,spoken,3312,
Franklin D. Roosevelt,1/6/1942,spoken,3511,
Franklin D. Roosevelt,1/7/1943,spoken,4588,
Franklin D. Roosevelt,1/11/1944,spoken,3805,
Franklin D. Roosevelt,1/6/1945,written,8211,
Harry S. Truman,1/21/1946,written,27465,
Harry S. Truman,1/6/1947,spoken,6028,
Harry S. Truman,1/7/1948,spoken,5094,
Harry S. Truman,1/5/1949,spoken,3401,
Harry S. Truman,1/4/1950,spoken,5130,
Harry S. Truman,1/8/1951,spoken,3994,
Harry S. Truman,1/9/1952,spoken,5369,
Harry S. Truman,1/7/1953,written,9683,
Dwight D. Eisenhower,2/2/1953,spoken,6973,
Dwight D. Eisenhower,1/7/1954,spoken,5985,
Dwight D. Eisenhower,1/6/1955,spoken,7250,
Dwight D. Eisenhower,1/5/1956,written,8265,
Dwight D. Eisenhower,1/10/1957,spoken,4137,
Dwight D. Eisenhower,1/9/1958,spoken,4915,
Dwight D. Eisenhower,1/9/1959,spoken,4933,
Dwight D. Eisenhower,1/7/1960,spoken,5633,
Dwight D. Eisenhower,1/12/1961,written,6210,
John F. Kennedy,1/30/1961,spoken,5274,
John F. Kennedy,1/11/1962,spoken,6569,
John F. Kennedy,1/14/1963,spoken,5470,
Lyndon B. Johnson,1/8/1964,spoken,3168,
Lyndon B. Johnson,1/4/1965,spoken,4399,
Lyndon B. Johnson,1/12/1966,spoken,5542,
Lyndon B. Johnson,1/10/1967,spoken,7195,
Lyndon B. Johnson,1/17/1968,spoken,4914,
Lyndon B. Johnson,1/14/1969,spoken,4115,
Richard Nixon,1/22/1970,spoken,4457,
Richard Nixon,1/22/1971,spoken,4508,
Richard Nixon,1/20/1972,spoken,3976,
Richard Nixon,2/2/1973,written,27147,
Richard Nixon,1/30/1974,spoken,5144,
Gerald R. Ford,1/15/1975,spoken,4126,
Gerald R. Ford,1/19/1976,spoken,4948,
Gerald R. Ford,1/12/1977,spoken,4727,
Jimmy Carter,1/19/1978,spoken,4580,
Jimmy Carter,1/25/1979,spoken,3257,
Jimmy Carter,1/21/1980,spoken,3412,
Jimmy Carter,1/16/1981,written,33667,
Ronald Reagan,2/18/1981,spoken,4446,"1981 NOT a ""State of the Union"""
Ronald Reagan,1/26/1982,spoken,5154,
Ronald Reagan,1/25/1983,spoken,5554,
Ronald Reagan,1/25/1984,spoken,4931,
Ronald Reagan,2/6/1985,spoken,4214,
Ronald Reagan,2/4/1986,spoken,3514,
Ronald Reagan,1/27/1987,spoken,3847,
Ronald Reagan,1/25/1988,spoken,4955,
George Bush,2/9/1989,spoken,4811,"1989 NOT a ""State of the Union"""
George Bush,1/31/1990,spoken,3777,
George Bush,1/29/1991,spoken,3823,
George Bush,1/28/1992,spoken,5012,
William J. Clinton,1/29/1993,spoken,7003,"1993 NOT a ""State of the Union"""
William J. Clinton,1/30/1994,spoken,7432,
William J. Clinton,1/31/1995,spoken,9190,
William J. Clinton,2/1/1996,spoken,6317,
William J. Clinton,2/2/1997,spoken,6774,
William J. Clinton,2/3/1998,spoken,7303,
William J. Clinton,2/4/1999,spoken,7514,
William J. Clinton,2/5/2000,spoken,7452,
George W. Bush,2/6/2001,spoken,4362,"2001 NOT a ""State of the Union"""
George W. Bush,2/7/2002,spoken,3878,
George W. Bush,2/8/2003,spoken,5413,
George W. Bush,2/9/2004,spoken,5229,
George W. Bush,2/10/2005,spoken,5096,
George W. Bush,2/11/2006,spoken,5323,
George W. Bush,2/12/2007,spoken,5590,
George W. Bush,2/13/2008,spoken,5760,
Barack Obama,2/14/2009,spoken,5902,"2009 NOT a ""State of the Union"""
Barack Obama,2/15/2010,spoken,7304,
Barack Obama,2/16/2011,spoken,6878,
Barack Obama,2/17/2012,spoken,7059,
Barack Obama,2/18/2013,spoken,6775,
Barack Obama,2/19/2014,spoken,6989,
Barack Obama,2/20/2015,spoken,6718,
Barack Obama,2/21/2016,spoken,6044,
Donald J. Trump,2/22/2017,spoken,5006,"2017 NOT a ""State of the Union"""
Donald J. Trump,2/23/2018,spoken,5839,
Donald J. Trump,2/24/2019,spoken,5540,
Donald J. Trump,2/25/2020,spoken,6217,
Joseph R. Biden,2/26/2021,spoken,8003,"2021 NOT a ""State of the Union"""
Joseph R. Biden,2/27/2022,spoken,7705,
Joseph R. Biden,2/28/2023,spoken,9216,